security_id,as_of_date,par_value,price,underlying_price
LAU1Comdty,20210720,120,2463.95,
QSU1Comdty,20210720,40,563.25,
COX1Comdty,20210720,122,68.2,
LNU1Comdty,20210720,49,18682,
LXU1Comdty,20210720,37,2959.25,
NGU1Comdty,20210720,363,3.852,
KCU1Comdty,20210720,69,166.8,
SBV1Comdty,20210720,132,17.41,
CTZ1Comdty,20210720,61,88.51,
SMZ1Comdty,20210720,35,369.7,
LHV1Comdty,20210720,85,91.025,
W U1Comdty,20210720,60,700.5,
CCU1Comdty,20210720,20,2257,
LCQ1Comdty,20210720,100,119.775,
BOQ1Comdty,20210720,39,67.02,
BOZ1Comdty,20210720,138,63.93,
C U1Comdty,20210720,39,571.75,
C Z1Comdty,20210720,222,565.75,
CCZ1Comdty,20210720,30,2310,
CLU1Comdty,20210720,39,67.2,
CLV1Comdty,20210720,70,66.62,
DFU1Comdty,20210720,145,1761,
GCQ1Comdty,20210720,145,1811.4,
HGU1Comdty,20210720,97,426.3,
HOU1Comdty,20210720,44,201.42,
JOU1Comdty,20210720,4,132.85,
KWU1Comdty,20210720,115,660.25,
MWU1Comdty,20210720,3,916,
NGF3Comdty,20210720,5,3.351,
NGG3Comdty,20210720,5,3.273,
NGH3Comdty,20210720,5,3.044,
NGJ3Comdty,20210720,5,2.65,
NGK2Comdty,20210720,105,3.014,
NGK3Comdty,20210720,5,2.601,
NGM3Comdty,20210720,5,2.634,
NGN2Comdty,20210720,15,3.078,
NGN3Comdty,20210720,5,2.678,
BOQ1C59.5Comdty,20210720,-20,7.55,66
CQ1C550.0Comdty,20210720,100,23.625,572
CQ1C565.0Comdty,20210720,100,12.625,572
CCU1C2450.0Comdty,20210720,50,5,2251
CCU1C2500.Comdty,20210720,100,3,2251
CLU1C69.0Comdty,20210720,100,0.31,66.4
CLN1C74.0Comdty,20210720,50,0.01,66.4
CLN1C71.0Comdty,20210720,100,0.25,66.4
KCU1C155.0Comdty,20210720,100,14.31,170
KCU1C160.0Comdty,20210720,70,11.15,170
KCU1C167.5Comdty,20210720,-100,7.56,170
KCU1C175.0Comdty,20210720,-35,5.11,170
KWQ1C625.0Comdty,20210720,150,36.25,670
LCQ1C122.0Comdty,20210720,30,0.675,120
NGQ1C3.70Comdty,20210720,-30,0.198,3.69
NGU1C3.70Comdty,20210720,50,0.271,3.69
NGU1C4.00Comdty,20210720,-50,0.139,3.69
NGV1C3.7Comdty,20210720,100,0.334,3.69
NGV1C4.05Comdty,20210720,-100,0.19,3.62
ODCV1C610.0Comdty,20210720,100,0.75,572
ODCU1C530.0Comdty,20210720,200,46.875,572
ODCU1C565.0Comdty,20210720,-200,27.5,572
BOQ1P57.5Comdty,20210720,100,0.02,66
CQ1P505.0Comdty,20210720,100,0.125,572
CQ1P515.0Comdty,20210720,100,0.25,572
CQ1P550.0Comdty,20210720,330,1.875,572
CCV1P2250.0Comdty,20210720,100,43,2251
CCV1P2400.0Comdty,20210720,-50,130,2251
CLU1P70.5Comdty,20210720,-100,4.55,66.4
CLN1P69.0Comdty,20210720,100,2.5,66.4
CLN1P71.7Comdty,20210720,-35,4.59,66.4
CLN1P73.0Comdty,20210720,75,6.07,66.4
CLN1P70.0Comdty,20210720,-50,3.35,66.4
CLN1P71.0Comdty,20210720,50,4.55,66.4
CLQ1P72.0Comdty,20210720,50,5.65,66.4
GCN1P1770.0Comdty,20210720,50,1.2,1810
GCN1P1820.0Comdty,20210720,50,17.9,1810
GCQ1P1800.0Comdty,20210720,50,11.8,1810
KCU1P140.0Comdty,20210720,150,0.25,170
KCU1P145.0Comdty,20210720,70,0.56,170
KCU1P150.0Comdty,20210720,-50,1.28,170
KCU1P155.0Comdty,20210720,-100,2.51,170
NGQ1P2.65Comdty,20210720,100,0.001,3.69
NGQ1P3.00Comdty,20210720,50,0.001,3.69
NGQ1P3.20Comdty,20210720,50,0.001,3.69
NGQ1P3.30Comdty,20210720,50,0.001,3.69
NGQ1P3.45Comdty,20210720,30,0.002,3.69
NGQ1P3.50Comdty,20210720,175,0.004,3.69
NGQ1P3.55Comdty,20210720,75,0.005,3.69
NGQ1P3.60Comdty,20210720,80,0.009,3.69
NGU1P3.50Comdty,20210720,65,0.051,3.69
SQ1P1300.0Comdty,20210720,100,0.25,1398
XBQ1P217.0Comdty,20210720,100,6.29,210